"New motor vehicle registrations, annual sum",,,,,,,,,,
Frequency: Annual,,,,,,,,,,
Table: 20-10-0024-02,,,,,,,,,,
Release date: 2024-09-09,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Geography,Vehicle type,Statistics,Fuel type,2018,2019,2020,2021,2022,2023,2024
Canada,"Total, vehicle type 1",,,Units,,,,,,
Canada,,Number of vehicles,All fuel types,"1,975,860","1,930,445","1,545,561","1,646,604","1,513,104","1,714,913",
Canada,,,Gasoline,"1,834,883","1,776,571","1,384,928","1,415,128","1,233,180","1,316,444",
Canada,,,Diesel,"70,600","59,089","64,769","65,876","75,247","74,020",
Canada,,,Battery electric,"22,570","35,523","39,036","58,952","98,620","143,661",
Canada,,,Hybrid electric,"25,837","38,390","41,453","79,328","81,049","135,682",
Canada,,,Plug-in hybrid electric,"21,713","20,642","15,317","27,315","24,990","45,090",
Canada,,,Other fuel types 2,257,230,58,5,18,16,
Newfoundland and Labrador 3,,,All fuel types,,,,,,,
Newfoundland and Labrador 4,,,Gasoline,,,,,,,
Newfoundland and Labrador 5,,,Diesel,,,,,,,
Newfoundland and Labrador 6,,,Battery electric,,,,,,,
Newfoundland and Labrador 7,,,Hybrid electric,,,,,,,
Newfoundland and Labrador 8,,,Plug-in hybrid electric,,,,,,,
Newfoundland and Labrador 9,,,Other fuel types 2,,,,,,,
Prince Edward Island,,,All fuel types,"7,929","7,140","5,513","8,236","5,477","6,538",
Prince Edward Island,,,Gasoline,"7,690","6,832","5,182","7,434","4,706","5,151",
Prince Edward Island,,,Diesel,154,142,192,308,265,279,
Prince Edward Island,,,Battery electric,10,26,24,115,168,305,
Prince Edward Island,,,Hybrid electric,69,122,94,320,286,606,
Prince Edward Island,,,Plug-in hybrid electric,6,18,21,59,52,197,
Prince Edward Island,,,Other fuel types 2,0,0,0,0,0,0,
Nova Scotia 3,,,All fuel types,,,,,,,
Nova Scotia 4,,,Gasoline,,,,,,,
Nova Scotia 5,,,Diesel,,,,,,,
