Year,Geography,Battery electric,Diesel,Gasoline,Hybrid electric,Other fuel types 2,Plug-in hybrid electric,Yearly Average
2019,British Columbia and the Territories,12288,10940,181447,8598,36,4692,
2020,British Columbia and the Territories,12087,12640,144587,8715,30,3124,
2021,British Columbia and the Territories,18135,11296,155742,13936,0,5783,
2022,British Columbia and the Territories,24832,10392,129999,13174,14,4866,
2023,British Columbia and the Territories,35887,10597,136575,19844,15,7751,
2019,Manitoba,149,1273,49186,596,1,140,
2020,Manitoba,211,1388,42072,883,0,100,
2021,Manitoba,355,1444,42514,1943,0,275,
2022,Manitoba,711,1848,36505,1856,0,335,
2023,Manitoba,966,1890,38151,3479,0,632,
2019,New Brunswick,81,920,38916,556,1,85,
2020,New Brunswick,110,948,32371,679,0,70,
2021,New Brunswick,271,1092,33686,1430,0,202,
2022,New Brunswick,571,1449,28865,1519,0,290,
2023,New Brunswick,963,1234,29831,2821,0,783,
2019,Ontario,6561,17235,754524,14464,94,3201,
2020,Ontario,8158,17787,555503,16807,14,2357,
2021,Ontario,14736,18202,555902,33339,0,4980,
2022,Ontario,32783,22803,497574,35457,2,5879,
2023,Ontario,38635,22326,542017,62529,0,11497,
2019,Prince Edward Island,26,142,6832,122,0,18,
2020,Prince Edward Island,24,192,5182,94,0,21,
2021,Prince Edward Island,115,308,7434,320,0,59,
2022,Prince Edward Island,168,265,4706,286,0,52,
2023,Prince Edward Island,305,279,5151,606,0,197,
2019,Quebec,15284,10021,412453,8650,74,11787,
2020,Quebec,17067,11729,336899,8526,5,9035,
2021,Quebec,22582,13953,347107,15643,1,14390,
2022,Quebec,34107,15278,295288,16649,2,11774,
2023,Quebec,59685,14232,297336,24116,1,20112,
2019,Saskatchewan,105,3064,45627,452,0,80,
2020,Saskatchewan,125,3663,40219,603,0,74,
2021,Saskatchewan,303,3602,39225,1529,0,175,
2022,Saskatchewan,507,4433,36248,1504,0,198,
2023,Saskatchewan,606,4392,39229,2737,0,470,
