"Transport sector greenhouse gas emissions, Canada, 1990 to 2022",,,,,,
,,,,,,
Year,Passenger - Cars (megatonnes of carbon dioxide equivalent),Passenger - Light trucks (megatonnes of carbon dioxide equivalent),"Passenger - Motorcycles, bus, rail and aviation (megatonnes of carbon dioxide equivalent)",Freight - Heavy duty trucks (megatonnes of carbon dioxide equivalent),"Freight - Rail, aviation and marine (megatonnes of carbon dioxide equivalent)",Other (megatonnes of carbon dioxide equivalent)
1990,44.9,25.8,9,18.8,11.3,8.1
1991,43.5,25.5,8,17.9,10.7,7.7
1992,44.3,26.4,8,18,10.9,7.6
1993,45.2,27.7,7.8,18.9,10.9,7.8
1994,46,29.3,8.2,21.2,11.3,8.3
1995,44.6,29.8,8.6,22.8,10.9,9.7
1996,44.3,31.1,9.1,23.6,10.8,10.2
1997,43.9,32.8,9.4,25.4,11,11
1998,43.6,34.7,9.7,25.9,10.8,11.8
1999,43,36.2,10.1,27.2,11.3,12.7
2000,42.6,36.6,10.3,27.7,11.4,13.1
2001,42.5,37.3,9.6,27.7,11.3,13.4
2002,42.7,38.5,9.6,28.2,10.9,13.9
2003,42.8,40,10.2,31.3,10.9,13.7
2004,42.9,41.6,10.7,33.5,11.2,13.7
2005,41.8,42.2,10.8,35.9,11.8,13.6
2006,41.3,42.9,10.9,36.8,12,13.2
2007,41.4,44.2,11.6,40.4,12.2,12.1
2008,40.4,44.2,11.7,42.2,12.4,11.7
2009,40,45.3,11,42.6,11.1,11.4
2010,39.2,46.4,10.7,45.2,11,12.5
2011,37.7,44.4,11,46.1,11.6,13.1
2012,36.6,45.3,11.8,45.6,11.7,13.2
2013,36.7,47.1,12.3,45.5,11.4,13.6
2014,35.4,47.4,12.1,45.1,11.4,12.9
2015,35.7,49,12,41.3,10.9,13.5
2016,35.4,51.6,12,38.1,10.5,14.4
2017,34.7,53,12.6,38.2,11.7,14.9
2018,34.1,54.9,13.4,39.6,12,15.1
2019,33.3,56.6,13.2,38.8,12.8,15.1
2020,25.7,48.6,8.4,34.1,12.1,14
2021,24.8,52,8.7,36.5,13.4,14.6
2022,24.1,55.1,11,37.9,13.9,14.4
,,,,,,
"Note: Data are presented as rounded figures. However, all calculations have been performed using unrounded data. The Other category includes other recreational, commercial and residential uses. Categories have been adapted from the classification used in Annex 10 of the National Inventory Report. For more details, consult the ""Methods"" section (www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions.html#methods-transportation).",,,,,,
Source: Environment and Climate Change Canada (2024) National Inventory Report 1990-2022: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,
